time            X               S               e2              Y               L              
0.000000000e+00 1.000000000e+01 1.000000000e+01 0.000000000e+00 0.000000000e+00 0.000000000e+00
6.012024048e-01 9.958867259e+00 9.958867259e+00 3.872280673e-03 3.726046069e-02 3.726046069e-02
1.202404810e+00 9.920247244e+00 9.920247244e+00 3.842300783e-03 7.591045490e-02 7.591045490e-02
1.803607214e+00 9.881925544e+00 9.881925544e+00 3.812667708e-03 1.142617885e-01 1.142617885e-01
2.404809619e+00 9.843898713e+00 9.843898713e+00 3.783376109e-03 1.523179112e-01 1.523179112e-01
3.006012024e+00 9.806163363e+00 9.806163363e+00 3.754420730e-03 1.900822162e-01 1.900822162e-01
3.607214429e+00 9.768716150e+00 9.768716150e+00 3.725796453e-03 2.275580535e-01 2.275580535e-01
4.208416834e+00 9.731553788e+00 9.731553788e+00 3.697498166e-03 2.647487140e-01 2.647487140e-01
4.809619238e+00 9.694673041e+00 9.694673041e+00 3.669521046e-03 3.016574383e-01 3.016574383e-01
5.410821643e+00 9.658070721e+00 9.658070721e+00 3.641860223e-03 3.382874192e-01 3.382874192e-01
6.012024048e+00 9.621743689e+00 9.621743689e+00 3.614510949e-03 3.746418002e-01 3.746418002e-01
6.613226453e+00 9.585688851e+00 9.585688851e+00 3.587468554e-03 4.107236805e-01 4.107236805e-01
7.214428858e+00 9.549903159e+00 9.549903159e+00 3.560728470e-03 4.465361127e-01 4.465361127e-01
7.815631263e+00 9.514383610e+00 9.514383610e+00 3.534286203e-03 4.820821035e-01 4.820821035e-01
8.416833667e+00 9.479127248e+00 9.479127248e+00 3.508137338e-03 5.173646151e-01 5.173646151e-01
9.018036072e+00 9.444131156e+00 9.444131156e+00 3.482277566e-03 5.523865660e-01 5.523865660e-01
9.619238477e+00 9.409392467e+00 9.409392467e+00 3.456702667e-03 5.871508307e-01 5.871508307e-01
1.022044088e+01 9.374908348e+00 9.374908348e+00 3.431408403e-03 6.216602437e-01 6.216602437e-01
1.082164329e+01 9.340676014e+00 9.340676014e+00 3.406390668e-03 6.559175950e-01 6.559175950e-01
1.142284569e+01 9.306692717e+00 9.306692717e+00 3.381645643e-03 6.899256373e-01 6.899256373e-01
1.202404810e+01 9.272955750e+00 9.272955750e+00 3.357169346e-03 7.236870811e-01 7.236870811e-01
1.262525050e+01 9.239462442e+00 9.239462442e+00 3.332957661e-03 7.572046001e-01 7.572046001e-01
1.322645291e+01 9.206210168e+00 9.206210168e+00 3.309006735e-03 7.904808255e-01 7.904808255e-01
1.382765531e+01 9.173196334e+00 9.173196334e+00 3.285312969e-03 8.235183531e-01 8.235183531e-01
1.442885772e+01 9.140418385e+00 9.140418385e+00 3.261872846e-03 8.563197418e-01 8.563197418e-01
1.503006012e+01 9.107873802e+00 9.107873802e+00 3.238682917e-03 8.888875146e-01 8.888875146e-01
1.563126253e+01 9.075560105e+00 9.075560105e+00 3.215739229e-03 9.212241561e-01 9.212241561e-01
1.623246493e+01 9.043474841e+00 9.043474841e+00 3.193038449e-03 9.533321202e-01 9.533321202e-01
1.683366733e+01 9.011615598e+00 9.011615598e+00 3.170577150e-03 9.852138248e-01 9.852138248e-01
1.743486974e+01 8.979979997e+00 8.979979997e+00 3.148351999e-03 1.016871651e+00 1.016871651e+00
1.803607214e+01 8.948565690e+00 8.948565690e+00 3.126359694e-03 1.048307950e+00 1.048307950e+00
1.863727455e+01 8.917370364e+00 8.917370364e+00 3.104596989e-03 1.079525039e+00 1.079525039e+00
1.923847695e+01 8.886391737e+00 8.886391737e+00 3.083060701e-03 1.110525202e+00 1.110525202e+00
